Day,fire_50km,7d_50km,X50km_7d.1,LOG
300,0,500,501,2.699837726
301,13,463,464,2.666517981
302,0,461,462,2.664641976
303,0,313,314,2.496929648
304,0,309,310,2.491361694
305,1,39,40,1.602059991
306,0,14,15,1.176091259
307,12,26,27,1.431363764
308,4,17,18,1.255272505
309,0,17,18,1.255272505
310,6,23,24,1.380211242
311,0,23,24,1.380211242
312,0,22,23,1.361727836
313,0,22,23,1.361727836
314,0,10,11,1.041392685
315,1,7,8,0.903089987
316,0,7,8,0.903089987
317,3,4,5,0.698970004
318,0,4,5,0.698970004
319,0,4,5,0.698970004
320,0,4,5,0.698970004
321,0,4,5,0.698970004
322,0,3,4,0.602059991
323,0,3,4,0.602059991
324,0,0,1,0
325,0,0,1,0
326,2,2,3,0.477121255
327,0,2,3,0.477121255
328,0,2,3,0.477121255
329,0,2,3,0.477121255
330,0,2,3,0.477121255
331,1,3,4,0.602059991
332,0,3,4,0.602059991
333,0,1,2,0.301029996
334,0,1,2,0.301029996
335,0,1,2,0.301029996
336,0,1,2,0.301029996
337,0,1,2,0.301029996
338,0,0,1,0
339,0,0,1,0
340,2,2,3,0.477121255
341,0,2,3,0.477121255
342,0,2,3,0.477121255
343,0,2,3,0.477121255
344,0,2,3,0.477121255
345,0,2,3,0.477121255
346,0,2,3,0.477121255
347,0,0,1,0
348,0,0,1,0
349,0,0,1,0
350,0,0,1,0
351,0,0,1,0
352,0,0,1,0
353,4,4,5,0.698970004
354,2,6,7,0.84509804
355,0,6,7,0.84509804
356,0,6,7,0.84509804
357,0,6,7,0.84509804
358,0,6,7,0.84509804
359,0,6,7,0.84509804
360,1,3,4,0.602059991
361,0,1,2,0.301029996
362,0,1,2,0.301029996
363,0,1,2,0.301029996
364,0,1,2,0.301029996
365,0,1,2,0.301029996
