,log_PM10,PM10
1,1.33855989,21.80519075
2,1.33855989,21.80519075
3,1.33855989,21.80519075
4,1.33855989,21.80519075
5,1.33855989,21.80519075
6,1.33855989,21.80519075
7,1.33855989,21.80519075
8,1.33855989,21.80519075
9,1.33855989,21.80519075
10,1.33855989,21.80519075
11,1.33855989,21.80519075
12,1.33855989,21.80519075
13,1.33855989,21.80519075
14,1.33855989,21.80519075
15,1.33855989,21.80519075
16,1.33855989,21.80519075
17,1.33855989,21.80519075
18,1.33855989,21.80519075
19,1.33855989,21.80519075
20,1.33855989,21.80519075
21,1.33855989,21.80519075
22,1.33855989,21.80519075
23,1.33855989,21.80519075
24,1.33855989,21.80519075
25,1.33855989,21.80519075
26,1.33855989,21.80519075
27,1.33855989,21.80519075
28,1.33855989,21.80519075
29,1.33855989,21.80519075
30,1.33855989,21.80519075
31,1.33855989,21.80519075
32,1.33855989,21.80519075
33,1.33855989,21.80519075
34,1.33855989,21.80519075
35,1.33855989,21.80519075
36,1.33855989,21.80519075
37,1.33855989,21.80519075
38,1.33855989,21.80519075
39,1.33855989,21.80519075
40,1.33855989,21.80519075
41,1.33855989,21.80519075
42,1.33855989,21.80519075
43,1.33855989,21.80519075
44,1.33855989,21.80519075
45,1.33855989,21.80519075
46,1.33855989,21.80519075
47,1.33855989,21.80519075
48,1.33855989,21.80519075
49,1.33855989,21.80519075
50,1.33855989,21.80519075
51,1.33855989,21.80519075
52,1.33855989,21.80519075
53,1.33855989,21.80519075
54,1.495122628,31.26962179
55,1.495122628,31.26962179
56,1.495122628,31.26962179
57,1.495122628,31.26962179
58,1.495122628,31.26962179
59,1.495122628,31.26962179
60,1.495122628,31.26962179
61,1.33855989,21.80519075
62,1.33855989,21.80519075
63,1.495122628,31.26962179
64,1.495122628,31.26962179
65,1.495122628,31.26962179
66,1.495122628,31.26962179
67,1.495122628,31.26962179
68,1.495122628,31.26962179
69,1.495122628,31.26962179
70,1.33855989,21.80519075
71,1.33855989,21.80519075
72,1.33855989,21.80519075
73,1.33855989,21.80519075
74,1.33855989,21.80519075
75,1.33855989,21.80519075
76,1.33855989,21.80519075
77,1.33855989,21.80519075
78,1.33855989,21.80519075
79,1.33855989,21.80519075
80,1.33855989,21.80519075
81,1.33855989,21.80519075
82,1.33855989,21.80519075
83,1.33855989,21.80519075
84,1.33855989,21.80519075
85,1.33855989,21.80519075
86,1.33855989,21.80519075
87,1.33855989,21.80519075
88,1.33855989,21.80519075
89,1.33855989,21.80519075
90,1.33855989,21.80519075
91,1.33855989,21.80519075
92,1.33855989,21.80519075
93,1.33855989,21.80519075
94,1.33855989,21.80519075
95,1.33855989,21.80519075
96,1.33855989,21.80519075
97,1.495122628,31.26962179
98,1.495122628,31.26962179
99,1.495122628,31.26962179
100,1.495122628,31.26962179
101,1.495122628,31.26962179
102,1.495122628,31.26962179
103,1.495122628,31.26962179
104,1.33855989,21.80519075
105,1.33855989,21.80519075
106,1.33855989,21.80519075
107,1.33855989,21.80519075
108,1.33855989,21.80519075
109,1.33855989,21.80519075
110,1.33855989,21.80519075
111,1.33855989,21.80519075
112,1.33855989,21.80519075
113,1.33855989,21.80519075
114,1.33855989,21.80519075
115,1.33855989,21.80519075
116,1.33855989,21.80519075
117,1.33855989,21.80519075
118,1.33855989,21.80519075
119,1.33855989,21.80519075
120,1.33855989,21.80519075
121,1.33855989,21.80519075
122,1.33855989,21.80519075
123,1.33855989,21.80519075
124,1.33855989,21.80519075
125,1.33855989,21.80519075
126,1.33855989,21.80519075
127,1.33855989,21.80519075
128,1.33855989,21.80519075
129,1.33855989,21.80519075
130,1.33855989,21.80519075
131,1.33855989,21.80519075
132,1.33855989,21.80519075
133,1.33855989,21.80519075
134,1.33855989,21.80519075
135,1.33855989,21.80519075
136,1.33855989,21.80519075
137,1.33855989,21.80519075
138,1.33855989,21.80519075
139,1.33855989,21.80519075
140,1.33855989,21.80519075
141,1.33855989,21.80519075
142,1.33855989,21.80519075
143,1.33855989,21.80519075
144,1.33855989,21.80519075
145,1.33855989,21.80519075
146,1.33855989,21.80519075
147,1.586705959,38.61054741
148,1.586705959,38.61054741
149,1.70208731,50.36018419
150,1.808248104,64.30549772
151,1.834852027,68.36786647
152,1.917910864,82.77722513
153,1.917910864,82.77722513
154,1.880177976,75.88885075
155,1.880177976,75.88885075
156,1.858650048,72.21876343
157,1.834852027,68.36786647
158,1.834852027,68.36786647
159,1.70208731,50.36018419
160,1.778087063,59.99113286
161,1.880177976,75.88885075
162,1.880177976,75.88885075
163,1.880177976,75.88885075
164,1.858650048,72.21876343
165,1.834852027,68.36786647
166,1.834852027,68.36786647
167,1.808248104,64.30549772
168,1.743268697,55.3692571
169,1.743268697,55.3692571
170,1.778087063,59.99113286
171,1.743268697,55.3692571
172,1.778087063,59.99113286
173,1.808248104,64.30549772
174,1.778087063,59.99113286
175,1.778087063,59.99113286
176,1.778087063,59.99113286
177,1.950233379,89.1730002
178,1.950233379,89.1730002
179,2.091212539,123.3708448
180,2.106796117,127.8780828
181,2.182795869,152.3336575
182,2.344673495,221.1431516
183,2.38321307,241.6646181
184,2.396123572,248.9565584
185,2.436256825,273.0592074
186,2.477729848,300.4206963
187,2.473315266,297.3824026
188,2.508981184,322.8354248
189,2.454739959,284.9311683
190,2.474796401,298.3983388
191,2.531889191,340.321347
192,2.533032851,341.2187212
193,2.550585157,355.2917776
194,2.565887098,368.033285
195,2.593693345,392.367787
196,2.598866219,397.0692165
197,2.631359139,427.9166043
198,2.601408898,399.4007703
199,2.610494566,407.8444585
200,2.602250137,400.1751686
201,2.59456376,393.1549605
202,2.545245138,350.9499121
203,2.529584352,338.5200155
204,2.497261838,314.240269
205,2.515238434,327.5204593
206,2.541979458,348.3208388
207,2.529584352,338.5200155
208,2.56390575,366.3580592
209,2.582978026,382.8053738
